photo_id,filename,permalink,credit,photo_url,downloaded
img01,pt1/img01.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img01,James Francis Hurley / State Library of New South Wales,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_01/main_1500.jpg?1478729903,True
img02,pt1/img02.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img02,AP,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_02/main_1500.jpg?1478729903,True
img03,pt1/img03.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img03,Library of Congress,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_03/main_1500.jpg?1478729903,True
img04,pt1/img04.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img04,Nationaal Archief,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_04/main_1500.jpg?1478729903,True
img05,pt1/img05.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img05,AP,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_05/main_1500.jpg?1478729903,True
img06,pt1/img06.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img06,Agence de presse Meurisse,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_06/main_1500.jpg?1478729903,True
img07,pt1/img07.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img07,National Library of Scotland,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_07/main_1500.jpg?1478729903,True
img08,pt1/img08.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img08,Library of Congress,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_08/main_1500.jpg?1478729903,True
img09,pt1/img09.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img09,Bibliotheque nationale de France,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_09/main_1500.jpg?1478729903,True
img10,pt1/img10.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img10,"CC BY-SA

                    Benjamin Hirschfeld",https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_10/main_1500.jpg?1478729903,True
img11,pt1/img11.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img11,Underwood & Underwood,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_11/main_1500.jpg?1478729903,True
img12,pt1/img12.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img12,National Library of Scotland,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_12/main_1500.jpg?1478729903,True
img13,pt1/img13.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img13,Henry Armytage Sanders / National Library of New Zealand,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_13/main_1500.jpg?1478729903,True
img14,pt1/img14.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img14,National Library of Scotland,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_14/main_1500.jpg?1478729903,True
img15,pt1/img15.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img15,National Library of Scotland,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_15/main_1500.jpg?1478729903,True
img16,pt1/img16.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img16,National Library of Scotland,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_16/main_1500.jpg?1478729903,True
img17,pt1/img17.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img17,Library of Congress,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_17/main_1500.jpg?1478729903,True
img18,pt1/img18.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img18,National Library of Scotland,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_18/main_1500.jpg?1478729903,True
img19,pt1/img19.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img19,National Library of Scotland,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_19/main_1500.jpg?1478729903,True
img20,pt1/img20.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img20,Library of Congress,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_20/main_1500.jpg?1478729903,True
img21,pt1/img21.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img21,James Francis Hurley / State Library of New South Wales,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_21/main_1500.jpg?1478729903,True
img22,pt1/img22.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img22,Tom Aitken / National Library of Scotland,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_22/main_1500.jpg?1478729903,True
img23,pt1/img23.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img23,Bibliotheque nationale de France Francois-Mitterrand,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_23/main_1500.jpg?1478729903,True
img24,pt1/img24.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img24,Bibliotheque nationale de France,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_24/main_1500.jpg?1478729904,True
img25,pt1/img25.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img25,Netherlands Nationaal Archief,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_25/main_1500.jpg?1478729904,True
img26,pt1/img26.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img26,Deutsches Bundesarchiv,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_26/main_1500.jpg?1478729904,True
img27,pt1/img27.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img27,NARA / U.S. War Dept.,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_27/main_1500.jpg?1478729904,True
img28,pt1/img28.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img28,Bibliotheque nationale de France,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_28/main_1500.jpg?1478729904,True
img29,pt1/img29.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img29,San Diego Air and Space Museum,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_29/main_1500.jpg?1478729904,True
img30,pt1/img30.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img30,Nationaal Archief,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_30/main_1500.jpg?1478729904,True
img31,pt1/img31.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img31,"CC BY
                
                
                
                Wellcome Library, London",https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_31/main_1500.jpg?1478729904,True
img32,pt1/img32.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img32,National Archives,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_32/main_1500.jpg?1478729904,True
img33,pt1/img33.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img33,Bibliotheque nationale de France,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_33/main_1500.jpg?1478729904,True
img34,pt1/img34.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img34,"CC BY
                
                
                
                Otis Historical Archives",https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_34/main_1500.jpg?1478729904,True
img35,pt1/img35.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img35,Bibliotheque nationale de France,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_35/main_1500.jpg?1478729904,True
img36,pt1/img36.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img36,Bibliotheque nationale de France,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_36/main_1500.jpg?1478729904,True
img37,pt1/img37.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img37,Australian official photographs / State Library of New South Wales,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_37/main_1500.jpg?1478729904,True
img38,pt1/img38.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img38,Bibliotheque nationale de France,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_38/main_1500.jpg?1478729904,True
img39,pt1/img39.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img39,National Library of Scotland,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_39/main_1500.jpg?1478729904,True
img40,pt1/img40.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img40,"CC BY
                
                
                
                Wellcome Library, London",https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_40/main_1500.jpg?1478729904,True
img41,pt1/img41.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img41,Bibliotheque nationale de France,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_41/main_1500.jpg?1478729904,True
img43,pt1/img43.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img43,Der Weltkrieg im Bild / Upper Austrian Federal State Library,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_43/main_1500.jpg?1478729904,True
img44,pt1/img44.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img44,Captain G. Wilkins / State Library of Victoria,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_44/main_1500.jpg?1478729904,True
img45,pt1/img45.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img45,National Library of Scotland,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_45/main_1500.jpg?1478729904,True
img01,pt2/img01.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img01,National Archives,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_01/main_1500.jpg?1478808928,True
img02,pt2/img02.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img02,Library of Congress,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_02/main_1500.jpg?1478808928,True
img03,pt2/img03.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img03,"Southern Methodist University, Central University Libraries, DeGolyer Library",https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_03/main_1500.jpg?1478808928,True
img04,pt2/img04.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img04,National Archive/Official German Photograph of WWI,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_04/main_1500.jpg?1478808928,True
img05,pt2/img05.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img05,National Library of Scotland,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_05/main_1500.jpg?1478808928,True
img06,pt2/img06.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img06,San Diego Air and Space Museum,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_06/main_1500.jpg?1478808928,True
img07,pt2/img07.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img07,National Library of New Zealand,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_07/main_1500.jpg?1478808928,True
img08,pt2/img08.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img08,National Archive / Official German Photograph of WWI,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_08/main_1500.jpg?1478808928,True
img09,pt2/img09.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img09,Brett Butterworth,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_09/main_1500.jpg?1478808928,True
img10,pt2/img10.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img10,Australian official photographs / State Library of New South Wales,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_10/main_1500.jpg?1478808928,True
img11,pt2/img11.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img11,Library of Congress,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_11/main_1500.jpg?1478808928,True
img12,pt2/img12.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img12,Library of Congress,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_12/main_1500.jpg?1478808928,True
img13,pt2/img13.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img13,Library of Congress,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_13/main_1500.jpg?1478808928,True
img14,pt2/img14.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img14,San Diego Air and Space Museum Archive,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_14/main_1500.jpg?1478808928,True
img15,pt2/img15.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img15,National Archives,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_15/main_1500.jpg?1478808928,True
img16,pt2/img16.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img16,National Archives / Official German Photograph,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_16/main_1500.jpg?1478808928,True
img17,pt2/img17.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img17,U.S. Army Signal Corps / Brett Butterworth,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_17/main_1500.jpg?1478808928,True
img18,pt2/img18.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img18,U.S. Army Signal Corps / Library of Congress,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_18/main_1500.jpg?1478808928,True
img19,pt2/img19.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img19,Der Weltkrieg im Bild / Upper Austrian Federal State Library,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_19/main_1500.jpg?1478808928,True
img20,pt2/img20.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img20,James Francis Hurley / State Library of New South Wales,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_20/main_1500.jpg?1478808928,True
img21,pt2/img21.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img21,Deutsches Bundesarchiv,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_21/main_1500.jpg?1478808928,True
img22,pt2/img22.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img22,Bibliotheque nationale de France,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_22/main_1500.jpg?1478808928,True
img23,pt2/img23.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img23,U.S. Army,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_23/main_1500.jpg?1478808928,True
img24,pt2/img24.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img24,NARA,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_24/main_1500.jpg?1478808928,True
img25,pt2/img25.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img25,National Archives / Official German Photograph,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_25/main_1500.jpg?1478808928,True
img26,pt2/img26.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img26,National Library of Scotland,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_26/main_1500.jpg?1478808928,True
img27,pt2/img27.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img27,Library of Congress,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_27/main_1500.jpg?1478808928,True
img28,pt2/img28.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img28,Nationaal Archief,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_28/main_1500.jpg?1478808928,True
img29,pt2/img29.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img29,AP,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_29/main_1500.jpg?1478808928,True
img30,pt2/img30.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img30,National Archives / Official German Photograph,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_30/main_1500.jpg?1478809001,True
img31,pt2/img31.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img31,U.S. Army Signal Corps,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_31/main_1500.jpg?1478808928,True
img32,pt2/img32.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img32,"Southern Methodist University, Central University Libraries, DeGolyer Library",https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_32/main_1500.jpg?1478808928,True
img33,pt2/img33.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img33,Australian War Memorial,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_33/main_1500.jpg?1478808928,True
img34,pt2/img34.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-technology/507305/#img34,National Library of Scotland,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-technology/w_34/main_1500.jpg?1478808928,True
